Train,Test,Features,Classifier,Scaler,Eval-mode,Accuracy,Sensitivity,Specificity
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,GaussianNB,Z-score,4-fold,78.19905213270142,88.50574712643679,70.96774193548387
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,LogisticRegression,MinMax,4-fold,84.67614533965245,80.07662835249042,87.90322580645162
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,LogisticRegression,Z-score,4-fold,80.88467614533965,78.544061302682,82.52688172043011
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,LinearClassifier,None,4-fold,65.086887835703,31.03448275862069,88.97849462365592
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,LinearClassifier,MinMax,4-fold,80.88467614533965,77.77777777777779,83.06451612903226
LIDC-IDRI,LIDC-IDRI,convnext-avgpool--ax--pca-br,LinearClassifier,Z-score,4-fold,81.20063191153238,75.47892720306514,85.21505376344086
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,1-NN-L2,None,4-fold,52.76461295418642,39.84674329501915,61.82795698924731
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,1-NN-L2,MinMax,4-fold,52.76461295418642,50.191570881226056,54.56989247311827
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,1-NN-L2,Z-score,4-fold,51.97472353870458,50.191570881226056,53.2258064516129
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,GaussianNB,None,4-fold,54.02843601895735,36.7816091954023,66.12903225806451
LIDC-IDRI,LIDC-IDRI,resnet50-avgpool-ax-gs-f,GaussianNB,MinMax,4-fold,53.87045813586098,36.7816091954023,65.86021505376344
